priority,start,end,title,source,url
B,2026-03-20T12:00:00+01:00,2026-03-20T12:30:00+01:00,EP | Formal sitting,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-20T12:30:00+01:00,2026-03-20T13:30:00+01:00,EP | VOTES,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-20T13:30:00+01:00,2026-03-20T23:00:00+01:00,EP | Debates (or at the end of the votes),EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-29T09:00:00+02:00,2026-03-29T11:50:00+02:00,EP | Debates,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-29T12:00:00+02:00,2026-03-29T14:00:00+02:00,EP | VOTES,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-29T14:00:00+02:00,2026-03-29T14:30:00+02:00,EP | Tackling trade barriers to defence,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
B,2026-03-29T14:30:00+02:00,2026-03-29T15:00:00+02:00,EP | EU-Canada cooperation,EP,https://www.europarl.europa.eu/news/en/agenda/weekly-agenda
